SCH_ID,STU_ID,Profmath,byses,usecalc,urban,gender
1011,101101,3,-0.230000004,5,1,1
1011,101102,3,0.689999998,3,1,1
1011,101104,4,-0.680000007,3,1,1
1011,101106,1,-1.279999971,2,1,1
1011,101107,1,-0.930000007,2,1,0
1011,101108,2,0.360000014,3,1,0
1011,101109,4,-0.239999995,4,1,0
1011,101110,1,-0.850000024,5,1,0
1011,101111,2,-1.070000052,2,1,0
1011,101112,3,-0.100000001,5,1,0
1011,101113,2,0.159999996,5,1,1
1011,101114,1,-0.74000001,5,1,1
1011,101115,4,-0.579999983,4,1,0
1011,101116,4,0.879999995,5,1,0
1011,101117,0,0.239999995,2,1,0
1011,101118,0,0.079999998,2,1,1
1011,101119,4,-1.360000014,2,1,1
1011,101120,1,-0.730000019,3,1,0
1011,101121,3,1.289999962,3,1,1
1011,101122,2,-0.49000001,1,1,0
1011,101123,2,-0.839999974,2,1,0
1011,101124,2,-0.600000024,4,1,0
1011,101126,4,-0.670000017,2,1,1
1011,101127,3,-0.050000001,5,1,1
1011,101128,3,-0.889999986,4,1,0
1011,101129,4,-0.150000006,5,1,0
1011,101131,3,0.670000017,3,1,0
1011,101132,2,-0.239999995,4,1,0
1011,101133,1,-1.289999962,5,1,0
1012,101201,1,-0.400000006,5,1,0
1012,101203,2,0.170000002,4,1,0
1012,101207,3,-0.469999999,5,1,0
1012,101209,2,-0.689999998,4,1,0
1012,101210,4,0.569999993,5,1,0
1012,101211,3,0.100000001,5,1,1
1012,101212,2,-0.07,5,1,0
1012,101214,1,-0.519999981,5,1,1
1012,101215,3,-0.360000014,5,1,0
1012,101217,1,-0.660000026,4,1,1
1012,101219,0,0.25,5,1,1
1012,101221,4,-0.839999974,5,1,1
1012,101226,3,1.309999943,5,1,0
1021,102101,2,-0.819999993,5,1,0
1021,102103,0,0.029999999,4,1,1
1021,102105,1,-1.169999957,5,1,0
1021,102106,1,0,5,1,1
1021,102107,1,-1.370000005,3,1,0
1021,102108,1,-0.949999988,3,1,0
1021,102109,0,-0.529999971,3,1,1
1021,102112,0,0.379999995,3,1,0
1021,102113,3,-0.200000003,4,1,0
1021,102116,0,-0.769999981,5,1,0
1021,102117,2,-0.189999998,1,1,0
1021,102118,0,-0.449999988,2,1,0
1021,102120,0,0.589999974,2,1,1
1021,102121,0,0.02,5,1,0
1021,102122,1,0.079999998,5,1,1
1022,102201,1,-1.029999971,5,1,0
1022,102203,1,-0.540000021,5,1,1
1022,102204,4,0.119999997,5,1,1
1022,102205,1,0.239999995,5,1,0
1022,102206,1,-0.629999995,3,1,0
1022,102207,1,-1.129999995,5,1,0
1022,102208,3,0.370000005,4,1,0
1022,102209,3,0.239999995,5,1,0
1022,102210,0,-0.920000017,3,1,0
1022,102211,1,0.50999999,5,1,1
1022,102212,0,0.75,2,1,1
1022,102213,3,0.50999999,5,1,0
1022,102214,1,-0.829999983,5,1,0
1022,102215,4,0.610000014,5,1,0
1022,102216,3,0.270000011,5,1,1
1022,102217,1,0.670000017,5,1,1
1022,102218,1,1.159999967,5,1,0
1022,102219,4,-1.200000048,5,1,0
1022,102220,1,-1.090000033,4,1,0
1022,102221,2,-0.25999999,5,1,0
1022,102222,1,-0.07,5,1,1
1022,102223,2,1.24000001,5,1,1
1022,102224,3,0.699999988,5,1,0
1022,102226,3,-0.75,4,1,0
1022,102227,0,0.449999988,4,1,0
